aud,review,date,rate,neg,neu,pos,compound,,,,count,,
Andr B,"Wow, this is just the best movie! With just the perfect throwbacks to the past spidey movies! I can't wait to see the effects of this movie in Dr. Strange!",20-Apr-22,5,0.046,0.635,0.319,0.9149,,,,,,
Lynette,The movie bounces from hilarious to hurt with ease as both the darkest and funniest MCU Spider-Man entry to date.,20-Apr-22,5,0.217,0.493,0.289,0.296,,,,,,
Ozzie B,"I am not really sure why both the critics and the public have embraced this movie. Tom Holland plays Spiderman like a dysfunctional teenager with ADHD. None of the other characters have any depth as the actors sleep walk through their performances. The dialogue is consummate drivel. The plot is just silly and reflects the dumbing down of audience expectations. I watched this movie given the stellar reviews, but I couldn't wait for it to be over. I was sooooo bored! Even the death of Aunt May was predictable and her death scene takes forever to end. I don't know why I thought that Kevin Fiege and Jon Watts could make a respectable movie. The BBC World News is certainly more entertaining than this abomination.",20-Apr-22,5,0.13,0.757,0.112,-0.5487,,,,,,
Keaton C,Was shallow and relied too much on nostalgia. Also it made no sense why a genius/superhero kid was worried about getting into college like he was part of some dumb 80's movie.,19-Apr-22,5,0.207,0.726,0.067,-0.6369,,,,,,
Benjamin G,Doesn't stream I couldn't even watch the movie at theater because I had to go use the restroom at least keep movies running in theater 1 month then next bring it in stream next month and terrible movie,19-Apr-22,5,0.084,0.916,0,-0.4767,,,,,,
Harry R,A film that could have had a lot of potential but flopped a bit I think a lot of the stuff either worked or didn't,31-Jul-21,0.5,0,1,0,0,,,,,,
Chris H,Nice to see a decent Marvel film again.,19-Apr-22,5,0,0.682,0.318,0.4215,,,,,,
Jacob M,Finally don't look crazy for defending Andrew Garfield as the best spiderman.,19-Apr-22,5,0,0.616,0.384,0.738,,,,,,
Ryan B,This movie basically includes a wishing machine and the Aunt May characters could not be more annoying.,19-Apr-22,5,0,0.762,0.238,0.5227,,,,,,
C. S,"Ridiculous sotry line. Movie for 10y old's. World largest magicion - who is the ruler of time and dimensions (Dr. Strange) -behaves like a kid... In the movie every ""action"" means: ""Hey guys, we have a (ridiculous) conflict here. Let""s solve it with 5-10mins full make non sense visual effects and demolition"" Totally disappointment.",19-Apr-22,5,0.143,0.784,0.073,-0.624,,,,,,
Lucas M,The whole thing was just a silly gimmick. Probably one of the worst Spider Man movies ever made. I feel sorry for the pathetic fan boys who can't get enough of this crap.,19-Apr-22,5,0.299,0.617,0.084,-0.8658,,,,,,
GaKnew,"Disney ruined marvel. This movie was corny and the premise of it is flawed. The decision he makes in the end could’ve simply been made in the beginning, leaving no point for the whole thing. It’s sad to say that The animated Spiderman from a couple of years ago did a better job with the multi-verse concept",19-Apr-22,5,0.135,0.819,0.047,-0.6705,,,,,,
James M,Saw it in the theaters definitely disappointing compared to homecoming and far from home.,18-Apr-22,5,0.179,0.67,0.151,-0.128,,,,,,
Matthew G,"This movie perfectly brought together 3 generations of fans in the most celebrated, emotional, and funny way possible!",18-Apr-22,5,0,0.495,0.505,0.9226,,,,,,
Jacob K,"PRETTY FIRE MOVIE, NOSTALGIA ALL AROUND",18-Apr-22,5,0.25,0.417,0.333,0.2023,,,,,,
Konrad K,"Great movie and all the characters had good chemistry, was kind of sad how many leaks there were online for the movie, but it was great nonetheless.",18-Apr-22,5,0.062,0.651,0.287,0.8382,,,,,,
Pascal C,"There has always been a certain attachment with films and with their characters. Sequel's, Prequels and Reboots (we used to call them remakes) are nothing new to cinema and are often used in hopes of generating new interest in an old story and characters. In some cases it can work, It can bring in a new audience to appriciate the new film. In other cases it can fail, tarnashing what came before it and in this perticular case, possibly it's actors. I was concerned and did not want to see my heros or actors re used in a diminished capacity. I'm happy to report this is not the case. The whole Multiverse thing, worked. The movie is not perfect and is a bit lost in the first 30 min. Then everything begins to work. Returning characters are all treated the way we remembered them and some still know how to steal the show, talking to you Willem Dafoe. Call it Fan Service if you will, I call it Fun and Nostalgic. Don't want to give anything away. Enjoyed the movie and all the returning cast of characters and actors.",18-Apr-22,5,0.07,0.81,0.121,0.89,,,,,,
Requiem_ M,"This movie was an absolute success and it is the most ambicious Spider-Man / Marvel movie so far. Great performances, great cameos and returns from known actors and their characters. Very good and well made CGI and my favorite movie so far. An absolute must see. - Your friend, Requiem.",18-Apr-22,5,0,0.631,0.369,0.9748,,,,,,
Mt S,Tom Holland shines as a believable Spider-Man. He is the most emotionally powerful Marvel hero and he even takes second billing to the incredible performances from Andrew and Tobey.,18-Apr-22,5,0,0.796,0.204,0.7703,,,,,,
RD M,Best Marvel movie ever made,18-Apr-22,5,0,0.488,0.512,0.6369,,,,,,
Carter T,"Fantastic. My only critique would be that Toby Maguire's acting feels sub par, but I can easily set aside my criticism for this monumental film.",18-Apr-22,2.5,0.127,0.694,0.179,0.1406,,,,,,
Sylvia M,Nostalgia was one the peak points of this movie. And we love it.,18-Apr-22,2.5,0,0.741,0.259,0.6369,,,,,,
Riirah G,"This is the best movie I've ever seen. Multiverse shenanigans everywhere, absolutely fantastic.",18-Apr-22,2.5,0,0.576,0.424,0.8439,,,,,,
Darinel G,"Spider-Man: No Way Home felt with many sensations, action scenes, the objective of the film, and the actors who participated, created 2h 28m of great intensity. The movie is definitely a marvel for Spider-Man fans, I can say that this movie was never boring, Jon Watts created a diamond piece, nostalgia and memories are present. ""With great power comes great responsibility."" Fans will shed tears remembering old times. However, this was all something that fans asked for, an excellent service from Marvel Studios. The purpose of the movie from start to finish is to entertain the viewer at every moment, making time pass very quickly and with little time to process all the information, where it makes you feel alive. Without a doubt one of the best films presented in 2021.",18-Apr-22,2.5,0.027,0.726,0.248,0.9863,,,,,,
Logan D,I've often left very generous reviews for films such as this but upon my second watch I made the glaring observation that this film is sadly mediocre. While it fixes Peter Parker it relies primarily on nostalgia to entertain the audience.,17-Apr-22,2.5,0.081,0.805,0.114,0.1397,,,,,,
Freddie J,"Wow. Just wow. What a film. Extremely well written, enjoyable, funny, not too complicated with the multi-verse thing, our favourite Spiderman villains, good acting and nostalgia. Perfect.",17-Apr-22,2.5,0.098,0.399,0.503,0.9535,,,,,,
Ray G,"Peter causes chaos. no chaos, no movie. how annoying! twice now Peter caused chaos. decisions of a spoled 5 year old and not a teen rebellious. pure selfishness and annoying.",17-Apr-22,2.5,0.546,0.411,0.043,-0.9683,,,,,,
Samuel L,Was not blown away like many watching this movie. Previous versions much better then this. Overall a ok movie to watch. Perhaps I'm getting a little tired of the Spiderman franchise.,17-Apr-22,2.5,0.135,0.718,0.146,0.0984,,,,,,
Robert P,"It's great to see the Sinister Six even though they come from other planes of existance but I think everyone knew this was going to happen, it's like the first Annual #1 of Spiderman. The only reason I am docking this movie *1* point, is that the movie was very slow with lot's of sentimental stuff. It was great to see all three Spiderman from the 1st series (in a different Universe) and Spiderman from the second series, thrown in to help Spiderman in our Universe. So, I am going to rate this movie *4* out of 5 stars!!!! P. S. What would have made this movie great is that the kid that had magic, I thought he would have been taken by Dr. Strange as a disciple.",17-Apr-22,3.5,0.033,0.793,0.174,0.9723,,,,,,
Ed I,Once again an overrated collection of tripe that ruins the legacy Spider-Man. How this Tom Holland scrap version of Spider-Man man is popular is beyond me. There is no way in hell that Peter Parker would be an idiot stooge of Tony Stark. The appeal of the character is Peter's hyper intelligence and ingenuity while being socially awkward. Instead we get this version of a marginally retarded Peter living with his clueless ex-stripper Aunt May.,17-Apr-22,3.5,0.224,0.711,0.065,-0.9275,,,,,,
Ben S,Incredibly overrated. I don't know what people saw in this. The story was full of holes. The reactions by Dr. Strange were implausible. The action wasn't enjoyable. The cameos were heavyhanded. There just wasn't much to like here.,17-Apr-22,3.5,0.157,0.843,0,-0.6504,,,,,,
